Path,SteerAngle,Throttle,Brake,Speed,X_Position,Y_Position,Pitch,Yaw,Roll
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_39_407.jpg,0,1,0,2.619226,104.0387,87.26642,1.342038,25.75158,0.001363157
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_39_455.jpg,0,1,0,2.647613,104.1348,87.31325,1.345505,25.75933,0.001383815
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_39_501.jpg,0,1,0,2.675948,104.2808,87.38445,1.350096,25.77086,0.001403673
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_39_548.jpg,0,1,0,2.718349,104.3793,87.43254,1.352406,25.77851,0.001413816
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_39_595.jpg,0,1,0,2.746545,104.4789,87.48114,1.353977,25.78616,0.001431751
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_39_643.jpg,0,1,0,2.77468,104.6301,87.55499,1.354958,25.79773,0.001427695
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_39_691.jpg,0,1,0,2.81676,104.7322,87.60484,1.35483,25.80559,0.00142508
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_39_739.jpg,0,1,0,2.844724,104.8872,87.68058,1.357903,25.81657,0.0009944986
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_39_786.jpg,0,0.8580787,0,2.887001,104.9916,87.73165,1.359042,25.82607,0.00143026
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_39_828.jpg,0,0.7163794,0,2.910067,105.0967,87.78304,1.353538,25.83308,0.0009546253
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_39_874.jpg,-1.881195,0.5909664,0,2.929406,105.2024,87.83424,1.345529,25.75122,0.0007184352
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_39_921.jpg,0,0.4519663,0,2.943602,105.3615,87.91146,1.318117,25.70011,0.001053248
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_39_968.jpg,0,0.3125442,0,2.957341,105.4676,87.96303,1.28704,25.69897,0.0008396848
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_40_016.jpg,0,0.1711553,0,2.962168,105.5734,88.01453,1.240251,25.70632,0.0006747994
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_40_064.jpg,0,0.02726871,0,2.962325,105.7314,88.09138,1.13422,25.72241,0.0005188758
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_40_109.jpg,0,0,0,2.955009,105.8361,88.14235,1.041794,25.73382,0.0003816466
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_40_154.jpg,-2.043128,0,0,2.949136,105.9407,88.19245,0.9332657,25.64243,359.9902
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_40_196.jpg,-4.090239,0,0,2.942787,106.0452,88.24116,0.8089008,25.38445,359.9548
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_40_243.jpg,-5.9779,0,0,2.935906,106.2023,88.31125,0.5962684,24.6973,359.8511
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_40_287.jpg,-3.893571,0,0,2.925113,106.3069,88.35714,0.4443309,24.26647,359.7739
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_40_336.jpg,-1.893106,0,0,2.919068,106.4111,88.403,0.2891364,23.97752,359.7039
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_40_385.jpg,0,0,0,2.912997,106.5667,88.47217,0.05692059,23.82829,359.6219
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_40_426.jpg,0,0,0,2.903456,106.6704,88.5185,359.9205,23.80911,359.5882
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_40_472.jpg,0,0,0,2.896957,106.7742,88.56493,359.8075,23.81117,359.5752
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_40_522.jpg,0,0,0.1380841,2.889887,106.9285,88.63378,359.6309,23.82211,359.5759
